Latitude,Longitude,Horodateur,Nom de la Structure,Thématique de travail,Adresse,Description de la structure,Contact,Site internet,Photos,Departement,Implication,Lien avec Traces
45.18994319999999,5.7366546,,La Ligue de l’Enseignement 38,Solidarités,33 Rue Joseph Chanrion 38000 Grenoble  ,,,http://www.laligue38.org/,,Isère,,
45.75793160000001,4.825008899999999,,La Maison des Passages,Equipements culturels,44 Rue SAint Georges 69005 Lyon  ,,,,,Rhône,,
46.1992635,5.2254263,,La Tannerie,Equipements culturels,123 Place de la Vinaigrerie 01000 Bourg-en-Bresse  ,,,https://www.la-tannerie.com/,,Ain,,
45.43522970000001,4.381635699999999,,Le Babet,Equipements culturels,10 Rue Félix Pyat 42000 SAint-Étienne  ,,,https://www.le-babet.fr/,,Loire,,
43.4104389,3.6991853,,Le GrAin de la Voix,Artistes,3 Rue Denfert Rochereau 34200 Sète  ,,,,,Vercors,,
45.214887,5.417758,,Le grand Séchoir,Equipements culturels,705 Route de Grenoble 38470 Vinay  ,,,http://www.legrandsechoir.fr/,,Vercors,,
44.54444050000001,4.6793509,,Le Musée de la résistance et de la déportation en Ardèche,Patrimoine & Mémoire,15 Rue du Travail 07400 Le Teil  ,,,http://www.Ardèche-resistance-deportation.fr/,,Ardèche,,
45.7598334,4.8837963,,Le Rize,Patrimoine & Mémoire,23 Rue Valentin Haüy 69100 Villeurbanne  ,,,http://lerize.villeurbanne.fr/,,Rhône,,
44.5504369,4.683533,,Le Teil,Collectivités Territoriales,Rue de l'Hotel de Ville 07400 Le Teil  ,,,https://www.mairie-le-teil.fr/,,Ardèche,,
45.1867111,5.723572,,Les Modernes,Equipements culturels,6 Rue Lakanal 38000 Grenoble  ,,,https://www.lesmodernes.com/,,Isère,,
45.44049649999999,4.38441,,Les Moyens du Bord,Solidarités,12 Rue d'Arcole 42000 SAint-Étienne  ,,,lmdb42.wordpress.com,,Loire,,
45.768254,4.8160662,,Les Subs,Equipements culturels,8 bis Quai SAint Vincent 69001 Lyon  ,,,https://www.les-subs.com/,,Rhône,,
45.4380805,4.3912074,,Lune et l'Autre,Equipements culturels,19 Rue Pierre Bérard 42000 SAint-Étienne  ,,,,,Loire,,
45.1639557,5.7327035,,Maison de l'Image,Equipements culturels,Galerie de l'Arlequin 38100 Grenoble  ,,,https://www.maison-image.fr/,,Isère,,
44.617337,4.3840084,,Maison de l'Image /Grand Ecran/ Les Rencontres des Cinémas d’Europe / Toiles de Doc,Equipements culturels,9 Boulevard de Provence 07200 Aubenas  ,,,http://www.maisonimage.eu/,,Ardèche,,
44.9285868,4.925663,,Maison des Solidarités Nelson Mandela,Solidarités,25 Rue Charles Gounod 26000 Valence  ,,,https://solidarites-mandela.pagesperso-orange.fr/accueil.html,,Drome,,
45.7746413,3.0840718,,Médiathèque de Jaude,Equipements culturels,9 Place Louis Aragon 63000 Clermont-Ferrand  ,,,https://www.bibliotheques-clermontmetropole.eu/page/mediatheque-de-jaude-clermont-ferrand-centre,,Auvergne,,
44.4066052,4.1406642,,Mediatheque intercommunale du pays de Vans en cevennes,Equipements culturels,Route de Païolive 07140 Les Vans  ,,,https://cdc-vansencevennes.reseaubibli.fr/index.php lvl=cmspage&pageid=6&id_rubrique=24,,Ardèche,,
45.1974118,4.906339700000001,,Médiathèque la motte de galaure,Equipements culturels,75 Rue des Ecoles 26240 La Motte-de-Galaure  ,,,,,Drome,,
45.6761834,6.392432299999999,,Médiathèque le Dôme,Equipements culturels,Pl de l'Europe 73200 Albertville  ,,,,,Savoie,,
45.8362912,4.615895,,Mediatheque municipale de l'Abresle,Equipements culturels,Place de la Republique 69210 L'Arbresle  ,,,http://www.mediatheque-2l.fr/index,,Rhône,,
44.7359289,4.5983597,,Médiathèque municipale Jacques Dupin,Equipements culturels,3 Rue Elie Reynier 07000 Privas  ,,,http://www.bm-privas.fr/search.php action=Accueil,,Ardèche,,
45.4632985,4.7693942,,Mediatheque municipale L'@ancre,Equipements culturels,2 Impasse du Pressoir 69420 Condrieu  ,,,http://biblio.vienne-condrieu-agglomeration.fr/ fbclid=IwAR37xervTnze0WvlrzBplt5a-BLsQ-GzHcQRCQ97-fTuS62AOPkNWlpS_f8,,,,
45.959517,5.357003,,MJC Ambérieu-en-Bugey,Equipements culturels,Place Jules Ferry 01500 Ambérieu-en-Bugey  ,,,http://mjc-amberieu.org/,,Ain,,
46.2087226,5.2311179,,MJC Bourg en Bresse,Equipements culturels,Allee des Brotteaux 01000 Bourg-en-Bresse  ,,,https://www.mjc-bourg.fr/,,Ain,,
45.7451126,4.8478314,,MJC Jean Macé,Equipements culturels,38 Rue Camille Roy 69007 Lyon  ,,,http://www.mjcjeanmace.com/ fbclid=IwAR1eSY2infM7gJZIk_KD8Pzp9a8ACL4xdsfgRjB-qgtAhFRCuIHG9kmZLhk,,Rhône,,
45.1633848,5.7273782,,MJC Prémol,Equipements culturels,7 Rue Henry Duhamel 38100 Grenoble  ,,,http://mjctheatrepremol.fr/,,Isère,,
45.7616918,4.8859618,,MJC Villeurbanne,Equipements culturels,46 Cours Docteur Jean Damidot 69100 Villeurbanne  ,,,https://www.mjc-villeurbanne.org/,,Rhône,,
45.1874236,5.7109483,,Modus Operandi,Médias,46 Rue d'Alembert 38000 Grenoble  ,,,https://www.modop.org/,,Isère,,
45.1931456,5.7283982,,Musée Dauphinois,Patrimoine & Mémoire,Place SAint André 38000 Grenoble  ,,,http://www.musee-dauphinois.fr/,,Isère,,
45.7808104,3.1037855,,Musée de la Résistance,Patrimoine & Mémoire,64 Avenue de l'Union Sovietique 63000 Clermont-Ferrand  ,,,,,Auvergne,,
45.7637437,4.8276422,,Musée Gadagne,Patrimoine & Mémoire,Place du Petit Collège 69005 Lyon  ,,,http://www.gadagne.musees.lyon.fr/,,Rhône,,
45.5665602,5.920329799999999,,Musée Savoisien,Patrimoine & Mémoire,Pl de l'Hotel de Ville 73000 Chambéry  ,,,http://www.musee-savoisien.fr/,,Haute-Savoie,,
45.1838515,5.7291997,,Nouveau théâtre SAinte-Marie-d’en-Bas,Equipements culturels,15 Allée du Jardin Hoche 38000 Grenoble  ,,,https://nouveautheatregestionreseau.jimdo.com/,,Isère,,
45.1927292,5.7341012,,ODTI,Champ culturel,7 Place Edmond Arnaud 38000 Grenoble  ,,,https://www.odti.org/,,Isère,,
45.7566561,4.843433399999999,,Olivier des Sages,Solidarité,8 Rue de l'Epée 69003 Lyon  ,,,http://www.olivierdessages.com/,,Rhône,,
46.1848994,5.2267407,,PAEJ (Point Accueil Ecoute Jeunes) Chocolat Chaud,Solidarités,526 Rue Paul VerlAine 01960 Péronnas  ,,,https://sauvegarde01.fr/chocolat%20chaud.html,,Ain,,
45.21135899999999,5.3999947,,Plumes de Brigands,Education,41 Rue Jean Moulin 38470 Vinay  ,,,http://www.plumesdebrigands.fr/,,Vercors,,
45.4277583,4.4085729,,Radio Dio,Médias,20 Rue Henri Dunant 42100 SAint-Étienne  ,,,http://radiodio.axperia.net/,,Loire,,
45.3823863,4.2892706,,Radio OndAine,Médias,1 Immeuble le Corbusier 42700 Firminy  ,,,https://www.radio-ondAine.fr/,,Loire,,
46.2050887,5.228168800000001,,Radio Salam,Médias,8 Rue Prevote 01000 Bourg-en-Bresse  ,,,https://radiosalam.com/,,Ain,,
45.1758336,5.7152968,,Regards des Lieux,Equipements culturels,51 Cours de la Libération et du Général de Gaulle 38100 Grenoble  ,,,http://regardsdeslieux.fr/,,Isère,,
45.1639557,5.7327035,,Regie de Quartier Villeneuve,Education,Galerie de l'Arlequin 38100 Grenoble  ,,,http://www.regiegrenoble.org/,,Isère,,
45.5796243,5.9301375,,RESF 73 Chambéry,Solidarités,Che des Ecureuils 73000 Chambéry  ,,,http://www.educationsansfrontieres.org/ page=contacts&id_rubrique=313,,Haute-Savoie,,
45.15414370000001,5.3199139,,SAint-Marcellin,Collectivités Territoriales,21 Place d'Armes 38160 SAint-Marcellin  ,,,,,Vercors,,
45.7507894,5.683707999999999,,Secours populaire Belley 01,Solidarités,Avenue Hoff 01300 Belley  ,,,https://www.secourspopulaire.fr/comite-de-belley,,Ain,,
45.4280813,4.3840116,,SOS Méditerranée,Solidarités,86 Rue Vaillant Couturier 42000 SAint-Étienne  ,,,https://www.sosmediterranee.fr/,,Loire,,
45.779221,4.878559,,Tabadol,Education,39 Rue Georges Courteline 69100 Villeurbanne  ,,,www.tabadol.org,,Rhône,,
45.2368513,5.4043832,,Teroloko,Solidarités,Conversiere et Chapelle 38470 Notre-Dame-de-l'Osier  ,,,https://teroloko.com/,,Vercors,,
45.7488505,4.8379694,,Terre des livres,Equipements culturels,86 Rue de Marseille 69007 Lyon  ,,,http://www.terredeslivres.fr/,,Rhône,,
45.7550994,4.842148799999999,,Théâtre de l'Elysée,Equipements culturels,14 Rue Basse Combalot 69007 Lyon  ,,,https://lelysee.com/,,Rhône,,
45.1686442,5.755688,,Theatre du Reel,Equipements culturels,63 Avenue du 8 Mai 1945 38400 SAint-Martin-d'Hères  ,,,http://theatredureel.fr/,,Isère,,
45.7502745,4.8504236,,Tillandsia,Artistes,Grande Rue de la Guillotière 69007 Lyon  ,,,https://tillandsia-video.com/,,Rhône,,
45.77059,3.08794,,UCA,Recherche,49 Boulevard François Mitterrand 63000 Clermont-Ferrand  ,,,https://www.uca.fr/,,Auvergne,,
45.50294419999999,4.2610804,,Un toit c'est tout,Solidarités,19 Rue Joannés Beaulieu 42170 SAint-Just-SAint-Rambert  ,,,,,Loire,,
45.5665436,5.9268069,,Université populaire,Education,R du Laurier 73000 Chambéry  ,,,http://aqcv.org/adultes/universite-populaire.html,,Savoie,,
45.7601344,3.1263256,,Videoformes,Equipements culturels,190 Boulevard Gustave Flaubert 63000 Clermont-Ferrand  ,,,https://videoformes.com/,,Auvergne,,
45.775232,4.818003099999999,,Villa Gillet,Equipements culturels,25 Rue Chazière 69004 Lyon  ,,,https://www.villagillet.net/,,Rhône,,
45.7798396,3.0865628,,Ville de Clermont-Ferrand,Collectivités Territoriales,10 Rue Philippe Marcombes 63000 Clermont-Ferrand  ,,,https://clermont-ferrand.fr/,,Auvergne,,
45.8182954,4.8992755,,Ville de Rillieux-la-Pape,Collectivités Territoriales,165 Rue Ampère 69140 Rillieux-la-Pape  ,,,,,Rhône,,
45.7588909,4.9257293,,Vive La TASE !,Patrimoine & Mémoire,13 Avenue Bataillon Carmagnole Liberté 69120 Vaulx-en-Velin  ,,,vivelatase.blogspot.fr,,Rhône,,
45.442307,4.384276799999999,,Zangmo,Artistes,13 Impasse Ernest Bonnave 42000 SAint-Étienne  ,,,https://ciezangmo.wordpress.com/,,Loire,,
45.8182954,4.8992755,,-,Collectivités Territoriales,165 Rue Ampère 69140 Rillieux-la-Pape  ,,,,,Ain,,
45.1579308,5.2989145,,Textes en l'air,,Grande Cour 38160 38160 ,,,http://www.textesenlair.net/,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,  ,,,,,,1,